q_name,q_label,gender,response,n
IC008Q07NA,"Use digital devices outside school for online games\Social Networks (e.g. <Farmville®>, <The Sims Social>).",Male,Once or twice a week,245
IC008Q07NA,"Use digital devices outside school for online games\Social Networks (e.g. <Farmville®>, <The Sims Social>).",Male,Almost every day,201
IC008Q07NA,"Use digital devices outside school for online games\Social Networks (e.g. <Farmville®>, <The Sims Social>).",Male,Every day,231
IC008Q08TA,"Use digital devices outside school for browsing the Internet for fun videos, e.g. <YouTube>).",Female,Never or hardly ever,98
IC008Q08TA,"Use digital devices outside school for browsing the Internet for fun videos, e.g. <YouTube>).",Female,Once or twice a month,120
IC008Q08TA,"Use digital devices outside school for browsing the Internet for fun videos, e.g. <YouTube>).",Female,Once or twice a week,396
IC008Q08TA,"Use digital devices outside school for browsing the Internet for fun videos, e.g. <YouTube>).",Female,Almost every day,521
IC008Q08TA,"Use digital devices outside school for browsing the Internet for fun videos, e.g. <YouTube>).",Female,Every day,738
IC008Q08TA,"Use digital devices outside school for browsing the Internet for fun videos, e.g. <YouTube>).",Male,Never or hardly ever,68
IC008Q08TA,"Use digital devices outside school for browsing the Internet for fun videos, e.g. <YouTube>).",Male,Once or twice a month,94
IC008Q08TA,"Use digital devices outside school for browsing the Internet for fun videos, e.g. <YouTube>).",Male,Once or twice a week,284
IC008Q08TA,"Use digital devices outside school for browsing the Internet for fun videos, e.g. <YouTube>).",Male,Almost every day,530
IC008Q08TA,"Use digital devices outside school for browsing the Internet for fun videos, e.g. <YouTube>).",Male,Every day,876
IC008Q09TA,Use digital devices outside school for reading news on the Internet (e.g. current affairs).,Female,Never or hardly ever,397
IC008Q09TA,Use digital devices outside school for reading news on the Internet (e.g. current affairs).,Female,Once or twice a month,414
IC008Q09TA,Use digital devices outside school for reading news on the Internet (e.g. current affairs).,Female,Once or twice a week,550
IC008Q09TA,Use digital devices outside school for reading news on the Internet (e.g. current affairs).,Female,Almost every day,302
IC008Q09TA,Use digital devices outside school for reading news on the Internet (e.g. current affairs).,Female,Every day,195
IC008Q09TA,Use digital devices outside school for reading news on the Internet (e.g. current affairs).,Male,Never or hardly ever,370
IC008Q09TA,Use digital devices outside school for reading news on the Internet (e.g. current affairs).,Male,Once or twice a month,303
IC008Q09TA,Use digital devices outside school for reading news on the Internet (e.g. current affairs).,Male,Once or twice a week,492
IC008Q09TA,Use digital devices outside school for reading news on the Internet (e.g. current affairs).,Male,Almost every day,375
IC008Q09TA,Use digital devices outside school for reading news on the Internet (e.g. current affairs).,Male,Every day,305
IC008Q10TA,Use digital devices outside school for obtaining practical information from the Internet,Female,Never or hardly ever,306
IC008Q10TA,Use digital devices outside school for obtaining practical information from the Internet,Female,Once or twice a month,376
IC008Q10TA,Use digital devices outside school for obtaining practical information from the Internet,Female,Once or twice a week,628
IC008Q10TA,Use digital devices outside school for obtaining practical information from the Internet,Female,Almost every day,364
IC008Q10TA,Use digital devices outside school for obtaining practical information from the Internet,Female,Every day,188
IC008Q10TA,Use digital devices outside school for obtaining practical information from the Internet,Male,Never or hardly ever,234
IC008Q10TA,Use digital devices outside school for obtaining practical information from the Internet,Male,Once or twice a month,300
IC008Q10TA,Use digital devices outside school for obtaining practical information from the Internet,Male,Once or twice a week,601
IC008Q10TA,Use digital devices outside school for obtaining practical information from the Internet,Male,Almost every day,435
IC008Q10TA,Use digital devices outside school for obtaining practical information from the Internet,Male,Every day,266
IC008Q11TA,"Use digital devices outside school for downloading music, films, games or software from the Internet.",Female,Never or hardly ever,245
IC008Q11TA,"Use digital devices outside school for downloading music, films, games or software from the Internet.",Female,Once or twice a month,372
IC008Q11TA,"Use digital devices outside school for downloading music, films, games or software from the Internet.",Female,Once or twice a week,505
IC008Q11TA,"Use digital devices outside school for downloading music, films, games or software from the Internet.",Female,Almost every day,396
IC008Q11TA,"Use digital devices outside school for downloading music, films, games or software from the Internet.",Female,Every day,344
IC008Q11TA,"Use digital devices outside school for downloading music, films, games or software from the Internet.",Male,Never or hardly ever,191
IC008Q11TA,"Use digital devices outside school for downloading music, films, games or software from the Internet.",Male,Once or twice a month,274
IC008Q11TA,"Use digital devices outside school for downloading music, films, games or software from the Internet.",Male,Once or twice a week,506
IC008Q11TA,"Use digital devices outside school for downloading music, films, games or software from the Internet.",Male,Almost every day,482
IC008Q11TA,"Use digital devices outside school for downloading music, films, games or software from the Internet.",Male,Every day,396
IC008Q12TA,Use digital devices outside school for uploading your own created contents for sharing,Female,Never or hardly ever,1160
IC008Q12TA,Use digital devices outside school for uploading your own created contents for sharing,Female,Once or twice a month,288
IC008Q12TA,Use digital devices outside school for uploading your own created contents for sharing,Female,Once or twice a week,191
IC008Q12TA,Use digital devices outside school for uploading your own created contents for sharing,Female,Almost every day,103
IC008Q12TA,Use digital devices outside school for uploading your own created contents for sharing,Female,Every day,110
IC008Q12TA,Use digital devices outside school for uploading your own created contents for sharing,Male,Never or hardly ever,981
IC008Q12TA,Use digital devices outside school for uploading your own created contents for sharing,Male,Once or twice a month,335
IC008Q12TA,Use digital devices outside school for uploading your own created contents for sharing,Male,Once or twice a week,254
IC008Q12TA,Use digital devices outside school for uploading your own created contents for sharing,Male,Almost every day,139
IC008Q12TA,Use digital devices outside school for uploading your own created contents for sharing,Male,Every day,134
IC008Q13NA,Use digital devices outside school for downloading new apps on a mobile device.,Female,Never or hardly ever,239
IC008Q13NA,Use digital devices outside school for downloading new apps on a mobile device.,Female,Once or twice a month,837
IC008Q13NA,Use digital devices outside school for downloading new apps on a mobile device.,Female,Once or twice a week,465
IC008Q13NA,Use digital devices outside school for downloading new apps on a mobile device.,Female,Almost every day,177
IC008Q13NA,Use digital devices outside school for downloading new apps on a mobile device.,Female,Every day,143
IC008Q13NA,Use digital devices outside school for downloading new apps on a mobile device.,Male,Never or hardly ever,205
IC008Q13NA,Use digital devices outside school for downloading new apps on a mobile device.,Male,Once or twice a month,615
IC008Q13NA,Use digital devices outside school for downloading new apps on a mobile device.,Male,Once or twice a week,561
IC008Q13NA,Use digital devices outside school for downloading new apps on a mobile device.,Male,Almost every day,256
IC008Q13NA,Use digital devices outside school for downloading new apps on a mobile device.,Male,Every day,207
IC009Q01TA,Digitial devices available at school: Desktop computer,Female,"Yes, and I use it",1478
IC009Q01TA,Digitial devices available at school: Desktop computer,Female,"Yes, but I don't use it",402
IC009Q01TA,Digitial devices available at school: Desktop computer,Female,No,79
IC009Q01TA,Digitial devices available at school: Desktop computer,Male,"Yes, and I use it",1466
IC009Q01TA,Digitial devices available at school: Desktop computer,Male,"Yes, but I don't use it",327
IC009Q01TA,Digitial devices available at school: Desktop computer,Male,No,146
IC009Q02TA,Digitial devices available at school: Portable laptop or notebook,Female,"Yes, and I use it",1048
IC009Q02TA,Digitial devices available at school: Portable laptop or notebook,Female,"Yes, but I don't use it",443
IC009Q02TA,Digitial devices available at school: Portable laptop or notebook,Female,No,450
IC009Q02TA,Digitial devices available at school: Portable laptop or notebook,Male,"Yes, and I use it",1006
IC009Q02TA,Digitial devices available at school: Portable laptop or notebook,Male,"Yes, but I don't use it",390
IC009Q02TA,Digitial devices available at school: Portable laptop or notebook,Male,No,531
IC009Q05NA,Digitial devices available at school: Internet connected school computers,Female,"Yes, and I use it",1654
IC009Q05NA,Digitial devices available at school: Internet connected school computers,Female,"Yes, but I don't use it",251
IC009Q05NA,Digitial devices available at school: Internet connected school computers,Female,No,41
IC009Q05NA,Digitial devices available at school: Internet connected school computers,Male,"Yes, and I use it",1600
IC009Q05NA,Digitial devices available at school: Internet connected school computers,Male,"Yes, but I don't use it",249
IC009Q05NA,Digitial devices available at school: Internet connected school computers,Male,No,80
IC009Q06NA,Digitial devices available at school: Internet connection via wireless network,Female,"Yes, and I use it",1611
IC009Q06NA,Digitial devices available at school: Internet connection via wireless network,Female,"Yes, but I don't use it",231
IC009Q06NA,Digitial devices available at school: Internet connection via wireless network,Female,No,102
IC009Q06NA,Digitial devices available at school: Internet connection via wireless network,Male,"Yes, and I use it",1475
IC009Q06NA,Digitial devices available at school: Internet connection via wireless network,Male,"Yes, but I don't use it",248
IC009Q06NA,Digitial devices available at school: Internet connection via wireless network,Male,No,191
IC009Q07NA,"Digitial devices available at school: Storage space for school-related data, e.g. a folder for own documents",Female,"Yes, and I use it",1553
IC009Q07NA,"Digitial devices available at school: Storage space for school-related data, e.g. a folder for own documents",Female,"Yes, but I don't use it",251
IC009Q07NA,"Digitial devices available at school: Storage space for school-related data, e.g. a folder for own documents",Female,No,135
IC009Q07NA,"Digitial devices available at school: Storage space for school-related data, e.g. a folder for own documents",Male,"Yes, and I use it",1503
IC009Q07NA,"Digitial devices available at school: Storage space for school-related data, e.g. a folder for own documents",Male,"Yes, but I don't use it",257
IC009Q07NA,"Digitial devices available at school: Storage space for school-related data, e.g. a folder for own documents",Male,No,153
IC009Q08TA,Digitial devices available at school: USB (memory) stick,Female,"Yes, and I use it",672
IC009Q08TA,Digitial devices available at school: USB (memory) stick,Female,"Yes, but I don't use it",398
IC009Q08TA,Digitial devices available at school: USB (memory) stick,Female,No,869
IC009Q08TA,Digitial devices available at school: USB (memory) stick,Male,"Yes, and I use it",769
IC009Q08TA,Digitial devices available at school: USB (memory) stick,Male,"Yes, but I don't use it",363
IC009Q08TA,Digitial devices available at school: USB (memory) stick,Male,No,775
IC009Q09TA,"Digitial devices available at school: <ebook reader>, e.g. <Amazon® Kindle>",Female,"Yes, and I use it",78
IC009Q09TA,"Digitial devices available at school: <ebook reader>, e.g. <Amazon® Kindle>",Female,"Yes, but I don't use it",213
IC009Q09TA,"Digitial devices available at school: <ebook reader>, e.g. <Amazon® Kindle>",Female,No,1613
IC009Q09TA,"Digitial devices available at school: <ebook reader>, e.g. <Amazon® Kindle>",Male,"Yes, and I use it",169
